Tanggal,RR
12/9/2020,9.3
12/10/2020,
12/11/2020,0.4
12/12/2020,4.8
12/13/2020,8888
12/14/2020,8888
12/15/2020,
12/16/2020,9
12/17/2020,6
12/18/2020,
12/19/2020,
12/20/2020,8888
12/21/2020,4.2
12/22/2020,8888
12/23/2020,0
12/24/2020,0
12/25/2020,8888
12/26/2020,0.7
12/27/2020,8888
12/28/2020,
12/29/2020,0
12/30/2020,
12/31/2020,5
